Code,Site,ICD,ICD Code,Sex,Year at death,All ages,0-4 yrs.,5-9 yrs.,10-14 yrs.,15-19 yrs.,20-24 yrs.,25-29 yrs.,30-34 yrs.,35-39 yrs.,40-44 yrs.,45-49 yrs.,50-54 yrs.,55-59 yrs.,60-64 yrs.,65-69 yrs.,70-74 yrs.,75-79 yrs.,80-84 yrs.,85+ yrs.
1,All cancers,ICD-9,140-208 ,Both,1980,139.067660020000000 ,5.485878591800000 ,4.745762099700000 ,4.381842767100000 ,5.587054587600000 ,6.243727366500000 ,11.351285296000000 ,19.050057668000000 ,34.695089175000000 ,56.569165116000000 ,104.048186820000000 ,177.355680770000000 ,262.023205360000000 ,410.552405590000000 ,610.192607870000000 ,888.775716510000000 ,1155.789287100000000 ,1301.304328700000000 ,1147.967873600000000 
1,All cancers,ICD-9,140-208 ,Both,1981,141.973823420000000 ,5.274132221300000 ,4.669379450700000 ,4.386987390100000 ,5.113636363600000 ,6.578947368400000 ,10.633563649000000 ,19.328252393000000 ,33.954237093000000 ,55.330969267000000 ,102.148699790000000 ,176.465786970000000 ,265.737926380000000 ,400.906678460000000 ,605.727091630000000 ,875.646687700000000 ,1162.554851300000000 ,1310.300429200000000 ,1240.140845100000000 
1,All cancers,ICD-9,140-208 ,Both,1982,144.168191990000000 ,4.978519080100000 ,4.125222489800000 ,3.716040387200000 ,4.977862869500000 ,5.931228429000000 ,9.890784145300000 ,19.711051808000000 ,31.279673181000000 ,54.435483871000000 ,99.504052256000000 ,173.796222400000000 ,265.828662930000000 ,393.997856380000000 ,599.455445540000000 ,862.698412700000000 ,1154.515676200000000 ,1326.269137800000000 ,1251.461039000000000 
1,All cancers,ICD-9,140-208 ,Both,1983,148.339029850000000 ,4.639709694100000 ,4.027430064200000 ,3.725570032600000 ,5.196170014000000 ,6.178779437800000 ,9.575543203600000 ,18.700537372000000 ,31.270222315000000 ,52.242328875000000 ,97.106537530000000 ,177.840020840000000 ,272.552314040000000 ,392.529327020000000 ,595.582428430000000 ,852.798341720000000 ,1150.788643500000000 ,1370.198170700000000 ,1319.133034400000000 
1,All cancers,ICD-9,140-208 ,Both,1984,152.506212190000000 ,4.463224613800000 ,3.892556339600000 ,3.652784746600000 ,4.880273660200000 ,6.061746988000000 ,9.195255707200000 ,18.940593015000000 ,31.215826623000000 ,53.028017241000000 ,95.637254902000000 ,175.305466240000000 ,274.107274060000000 ,391.556677020000000 ,596.288916560000000 ,844.210829490000000 ,1158.301323100000000 ,1405.047549400000000 ,1380.726257000000000 
1,All cancers,ICD-9,140-208 ,Both,1985,156.082740130000000 ,3.956332814800000 ,4.003532528700000 ,3.890894504600000 ,5.012559433000000 ,5.148335656800000 ,9.376773461300000 ,16.935644551000000 ,30.327722986000000 ,54.765299468000000 ,93.246921265000000 ,170.779748890000000 ,272.458399740000000 ,394.405881470000000 ,579.814179050000000 ,842.708716700000000 ,1185.294721700000000 ,1390.697353000000000 ,1461.269430100000000 
1,All cancers,ICD-9,140-208 ,Both,1986,158.462454320000000 ,4.265859364200000 ,3.858402743800000 ,3.647632595000000 ,4.147709237100000 ,5.505729945200000 ,8.747075643400000 ,15.758709376000000 ,30.233798560000000 ,54.186450492000000 ,92.165071770000000 ,167.011079300000000 ,271.570548710000000 ,388.462212870000000 ,575.146679180000000 ,828.776581050000000 ,1118.015963500000000 ,1421.771978000000000 ,1454.865181700000000 
1,All cancers,ICD-9,140-208 ,Both,1987,164.202081700000000 ,4.185981177100000 ,3.384693104300000 ,3.784631468900000 ,4.586106489200000 ,5.392392874300000 ,8.839493409100000 ,15.623852088000000 ,30.736570057000000 ,51.661664999000000 ,86.522093972000000 ,163.543336210000000 ,278.144245240000000 ,402.029950080000000 ,568.498750850000000 ,828.626163110000000 ,1134.708029200000000 ,1434.328358200000000 ,1517.400644500000000 
1,All cancers,ICD-9,140-208 ,Both,1988,168.382148070000000 ,3.595148715000000 ,3.422792687700000 ,3.389830508500000 ,4.751246311900000 ,5.081563196800000 ,8.826930489500000 ,15.396264513000000 ,29.963757469000000 ,51.695182114000000 ,85.681792335000000 ,157.570900120000000 ,276.997319030000000 ,403.334391870000000 ,562.029174830000000 ,825.449101800000000 ,1129.461457200000000 ,1448.855906000000000 ,1574.103585700000000 
1,All cancers,ICD-9,140-208 ,Both,1989,173.628123470000000 ,3.374141534800000 ,3.267627993100000 ,3.463940942600000 ,4.496637559000000 ,4.937564440400000 ,8.158062460200000 ,15.341416720000000 ,29.811958589000000 ,50.993906703000000 ,86.277929155000000 ,157.832377150000000 ,277.718973270000000 ,410.598656080000000 ,566.516208450000000 ,826.589912280000000 ,1112.287270300000000 ,1464.811594200000000 ,1598.873239400000000 
